timestamp,종가,시가,고가,저가,거래량,변동 %,close,open,high,low,volume,change,Exchange Rate,foreign_price_krw
2022-05-19,"30,329.0","28,680.0","30,542.0","28,673.0",4.49K,5.75%,30329.0,28680.0,30542.0,28673.0,4490.0,5.75,1269.3,38496599.699999996
2022-05-18,"28,680.0","30,442.0","30,702.0","28,634.0",3.94K,-5.79%,28680.0,30442.0,30702.0,28634.0,3940.0,-5.79,1277.2,36630096.0
2022-05-17,"30,442.0","29,854.0","30,766.0","29,445.9",3.07K,1.97%,30442.0,29854.0,30766.0,29445.9,3070.0,1.97,1281.6,39014467.199999996
2022-05-16,"29,854.0","31,318.0","31,324.1","29,083.0",4.52K,-4.68%,29854.0,31318.0,31324.1,29083.0,4520.0,-4.68,1286.0,38392244.0
2022-05-15,"31,319.0","30,104.0","31,416.0","29,483.0",2.74K,4.04%,31319.0,30104.0,31416.0,29483.0,2740.0,4.04,1286.4,40288761.6
2022-05-14,"30,104.0","29,306.0","30,346.0","28,674.0",4.13K,2.72%,30104.0,29306.0,30346.0,28674.0,4130.0,2.72,1286.4,38725785.6
2022-05-13,"29,306.0","29,089.5","31,068.0","28,831.0",8.72K,0.74%,29306.0,29089.5,31068.0,28831.0,8720.0,0.74,1286.4,37699238.400000006
2022-05-12,"29,089.5","29,095.0","30,224.0","26,600.0",34.25K,-0.02%,29089.5,29095.0,30224.0,26600.0,34250.0,-0.02,1277.0,37147291.5
2022-05-11,"29,095.0","31,061.0","32,181.0","27,902.0",28.73K,-6.30%,29095.0,31061.0,32181.0,27902.0,28730.0,-6.3,1275.5,37110672.5
2022-05-10,"31,050.0","30,158.0","32,681.0","29,845.0",14.17K,2.96%,31050.0,30158.0,32681.0,29845.0,14170.0,2.96,1274.6,39576330.0
2022-05-09,"30,158.0","34,064.0","34,259.0","30,114.0",21.24K,-11.52%,30158.0,34064.0,34259.0,30114.0,21240.0,-11.52,1272.7,38382086.6
2022-05-08,"34,084.0","35,506.0","35,540.0","33,779.0",6.58K,-4.01%,34084.0,35506.0,35540.0,33779.0,6580.0,-4.01,1261.8,43007191.199999996
2022-05-07,"35,508.0","36,040.0","36,163.0","34,879.0",3.78K,-1.48%,35508.0,36040.0,36163.0,34879.0,3780.0,-1.48,1261.8,44803994.4
2022-05-06,"36,040.0","36,577.0","36,684.0","35,315.0",7.60K,-1.47%,36040.0,36577.0,36684.0,35315.0,7600.0,-1.47,1261.8,45475272.0
2022-05-05,"36,577.0","39,701.2","39,843.0","36,209.0",9.74K,-7.87%,36577.0,39701.2,39843.0,36209.0,9740.0,-7.87,1265.7,46295508.9
2022-05-04,"39,701.2","37,751.0","39,996.0","37,695.0",5.26K,5.17%,39701.2,37751.0,39996.0,37695.0,5260.0,5.17,1265.7,50249808.839999996
2022-05-03,"37,751.0","38,520.0","38,673.5","37,555.0",3.62K,-2.00%,37751.0,38520.0,38673.5,37555.0,3620.0,-2.0,1265.8,47785215.8
2022-05-02,"38,520.0","38,496.1","39,184.0","38,090.7",3.59K,0.06%,38520.0,38496.1,39184.0,38090.7,3590.0,0.06,1265.4,48743208.0
2022-05-01,"38,496.1","37,662.0","38,689.0","37,426.0",3.06K,2.21%,38496.1,37662.0,38689.0,37426.0,3060.0,2.21,1269.4,48866949.34
2022-04-30,"37,662.0","38,600.0","38,791.6","37,633.0",2.91K,-2.43%,37662.0,38600.0,38791.6,37633.0,2910.0,-2.43,1269.4,47808142.800000004
2022-04-29,"38,600.0","39,757.8","39,927.2","38,200.7",3.19K,-2.91%,38600.0,39757.8,39927.2,38200.7,3190.0,-2.91,1269.4,48998840.0
2022-04-28,"39,757.8","39,263.0","40,364.0","38,922.0",4.65K,1.26%,39757.8,39263.0,40364.0,38922.0,4650.0,1.26,1263.1,50218077.18
2022-04-27,"39,263.0","38,139.0","39,478.0","37,901.0",4.20K,2.95%,39263.0,38139.0,39478.0,37901.0,4200.0,2.95,1248.3,49012002.9
2022-04-26,"38,139.0","40,456.0","40,800.3","37,762.0",4.73K,-5.73%,38139.0,40456.0,40800.3,37762.0,4730.0,-5.73,1247.1,47563146.9
2022-04-25,"40,456.0","39,486.0","40,588.0","38,200.0",6.01K,2.46%,40456.0,39486.0,40588.0,38200.0,6010.0,2.46,1241.7,50234215.2
2022-04-24,"39,486.0","39,444.0","39,949.0","38,963.0",2.19K,0.10%,39486.0,39444.0,39949.0,38963.0,2190.0,0.1,1236.4,48820490.400000006
