timestamp,Exchange Rate,close,open,high,low,volume,change,비트코인,업비트,bitcoin,coinbase
2021-03-07,1126.2,57471337.44,55065549.0,57471337.44,55065549.0,5370.0,4.37,41,39,65,5
2021-03-08,1129.4,59174913.00000001,57634637.28,59174913.00000001,56267837.400000006,6150.0,2.67,42,41,64,5
2021-03-09,1131.3,62164256.22,59274463.5,62164256.22,59274463.5,8200.0,4.88,51,51,81,6
2021-03-10,1141.1,63850478.71999999,62703444.99999999,65080356.3,61275586.56999999,10680.0,1.83,52,56,79,6
2021-03-11,1140.7,66011168.300000004,63809617.300000004,66070484.7,62549143.800000004,8660.0,3.42,50,59,71,5
2021-03-12,1137.3,65184349.5,65814413.699999996,65814413.699999996,63627385.8,9560.0,-0.96,53,68,73,5
2021-03-13,1137.3,69610721.1,65184349.5,69610721.1,64243802.4,13700.0,6.79,66,80,100,7
2021-03-14,1137.3,67106386.5,69610721.1,69907556.39999999,67106386.5,6640.0,-3.6,64,66,91,7
2021-03-15,1130.7,62916670.800000004,66716953.5,68001541.77,62916670.800000004,14780.0,-5.7,72,77,79,6
2021-03-16,1135.9,64659971.6,63206019.6,64659971.6,61394259.1,10490.0,2.3,65,74,76,8
2021-03-17,1132.5,66670275.0,64466430.0,66670275.0,61807320.0,11270.0,3.42,70,85,69,9
2021-03-18,1131.8,65236952.0,66629066.0,67680508.2,65169044.0,7240.0,-2.09,57,83,72,11
2021-03-19,1123.7,65257753.800000004,64770068.0,66254475.7,64084611.0,6480.0,0.75,56,81,63,7
2021-03-20,1123.7,65272361.900000006,65257753.800000004,66771377.7,65257753.800000004,6780.0,0.02,63,85,63,6
2021-03-21,1123.7,64464421.6,65272361.900000006,65735888.150000006,63151940.0,8290.0,-1.24,57,74,61,6
2021-03-22,1131.8,61200953.199999996,64929102.4,65685144.8,61200953.199999996,8720.0,-5.74,67,87,62,5
2021-03-23,1131.3,61464660.3,61173916.199999996,62953337.97,60571159.559999995,6570.0,0.48,65,84,65,5
2021-03-24,1128.0,59047641.599999994,61285368.0,64204632.0,59047641.599999994,14080.0,-3.65,65,86,73,6
2021-03-25,1133.5,58219960.5,59335551.199999996,59991621.0,57665679.0,11590.0,-1.88,63,73,77,5
2021-03-26,1134.2,62372947.18000001,58255914.6,62372947.18000001,58255914.6,7710.0,7.07,50,69,64,4
2021-03-27,1134.2,63385901.2,62372947.18000001,63797615.800000004,61669856.6,5180.0,1.62,47,60,60,5
2021-03-28,1134.2,63257736.6,63385901.2,63884949.2,62481943.800000004,4210.0,-0.2,44,64,57,5
2021-03-29,1131.8,65273509.14,63123881.4,65827751.599999994,62230891.199999996,10120.0,3.41,51,76,65,5
2021-03-30,1131.7,66590359.7,65267741.910000004,67165263.3,64821512.6,7870.0,2.03,57,87,68,5
2021-03-31,1133.5,66645266.0,66696273.5,67389975.5,65400683.0,8119.999999999999,-0.08,65,100,65,5
2021-04-01,1132.6,66514653.239999995,66592349.599999994,67019226.54,66254834.8,4350.0,-0.12,43,62,57,4
2021-04-02,1129.3,66582398.699999996,66320852.82,67570536.2,66320852.82,6150.0,0.39,48,75,53,6
2021-04-03,1129.3,64396073.9,66582398.699999996,67192220.7,64396073.9,6630.0,-3.28,43,68,47,5
2021-04-04,1129.3,65770432.0,64396073.9,65770432.0,64396073.9,4970.0,2.13,42,58,45,4
2021-04-05,1127.5,66685987.5,65665600.0,66685987.5,64305835.0,5590.0,1.55,56,75,49,6
2021-04-06,1127.8,65402249.8,66703731.0,66765760.0,64964663.4,5620.0,-1.95,53,82,47,6
2021-04-07,1122.9,62837484.00000001,65118093.900000006,65678421.00000001,62837484.00000001,8850.0,-3.5,81,91,47,7
2021-04-08,1116.4,64874004.00000001,62473744.00000001,64874004.00000001,62473744.00000001,4480.0,3.84,54,72,45,6
2021-04-09,1118.5,65000509.0,64996035.0,65636935.5,64704106.5,3750.0,0.01,44,73,41,6
2021-04-10,1118.5,66912920.300000004,65000509.0,68210604.0,65000509.0,9790.0,2.94,45,66,48,7
2021-04-11,1118.5,67148923.8,66912920.300000004,67653591.0,66451203.5,4650.0,0.35,40,64,50,7
2021-04-12,1117.2,66920280.0,67070878.56,67815157.2,66749348.400000006,5500.0,-0.22,39,66,46,10
2021-04-13,1124.3,71413287.39999999,67345570.0,71413287.39999999,67345570.0,11260.0,6.04,46,70,63,21
2021-04-14,1126.1,70879774.46999998,71527619.8,72491561.39999999,69891396.5,10930.0,-0.91,46,76,69,73
2021-04-15,1119.9,70773200.4,70449549.30000001,71085652.5,69823525.2,6610.0,0.4,40,67,58,33
