timestamp,종가,시가,고가,저가,거래량,변동 %,close,open,high,low,volume,change
2023-02-07,"29,417,000","29,230,000","29,535,000","28,987,000",0.99K,0.66%,29417000.0,29230000.0,29535000.0,28987000.0,990.0,0.66
2023-02-06,"29,224,000","28,978,000","29,400,000","28,650,000",0.89K,0.86%,29224000.0,28978000.0,29400000.0,28650000.0,890.0,0.86
2023-02-05,"28,974,000","29,412,000","29,542,000","28,955,000",0.51K,-1.48%,28974000.0,29412000.0,29542000.0,28955000.0,510.0,-1.48
2023-02-04,"29,410,000","29,431,000","29,634,000","29,345,000",0.59K,-0.07%,29410000.0,29431000.0,29634000.0,29345000.0,590.0,-0.07
2023-02-03,"29,430,000","29,632,000","29,736,000","29,267,000",0.78K,-0.51%,29430000.0,29632000.0,29736000.0,29267000.0,780.0,-0.51
2023-02-02,"29,580,000","29,623,000","30,210,000","29,500,000",1.21K,-0.13%,29580000.0,29623000.0,30210000.0,29500000.0,1210.0,-0.13
2023-02-01,"29,619,000","29,058,000","29,755,000","28,638,000",1.48K,1.96%,29619000.0,29058000.0,29755000.0,28638000.0,1480.0,1.96
2023-01-31,"29,051,000","28,699,000","29,230,000","28,432,000",0.82K,1.22%,29051000.0,28699000.0,29230000.0,28432000.0,820.0,1.22
2023-01-30,"28,702,000","29,664,000","29,739,000","28,347,000",1.08K,-3.26%,28702000.0,29664000.0,29739000.0,28347000.0,1080.0,-3.26
2023-01-29,"29,668,000","29,061,000","29,898,000","28,993,000",1.09K,2.09%,29668000.0,29061000.0,29898000.0,28993000.0,1090.0,2.09
2023-01-28,"29,062,000","28,970,000","29,097,000","28,798,000",0.66K,0.32%,29062000.0,28970000.0,29097000.0,28798000.0,660.0,0.32
2023-01-27,"28,970,000","28,927,000","29,331,000","28,455,000",1.14K,0.18%,28970000.0,28927000.0,29331000.0,28455000.0,1140.0,0.18
2023-01-26,"28,919,000","28,754,000","29,074,000","28,681,000",0.97K,0.57%,28919000.0,28754000.0,29074000.0,28681000.0,970.0,0.57
2023-01-25,"28,755,000","28,354,000","29,508,000","28,024,000",1.54K,1.44%,28755000.0,28354000.0,29508000.0,28024000.0,1540.0,1.44
2023-01-24,"28,348,000","28,640,000","28,949,000","28,001,000",1.41K,-1.02%,28348000.0,28640000.0,28949000.0,28001000.0,1410.0,-1.02
2023-01-23,"28,640,000","28,428,000","28,907,000","28,302,000",1.17K,0.73%,28640000.0,28428000.0,28907000.0,28302000.0,1170.0,0.73
2023-01-22,"28,432,000","28,336,000","28,703,000","27,945,000",1.42K,0.34%,28432000.0,28336000.0,28703000.0,27945000.0,1420.0,0.34
2023-01-21,"28,336,000","28,010,000","29,034,000","27,725,000",1.31K,1.13%,28336000.0,28010000.0,29034000.0,27725000.0,1310.0,1.13
2023-01-20,"28,018,000","26,218,000","28,083,000","26,090,000",1.85K,6.88%,28018000.0,26218000.0,28083000.0,26090000.0,1850.0,6.88
2023-01-19,"26,215,000","25,734,000","26,302,000","25,720,000",0.94K,1.84%,26215000.0,25734000.0,26302000.0,25720000.0,940.0,1.84
2023-01-18,"25,742,000","26,255,000","26,785,000","25,499,000",2.18K,-1.96%,25742000.0,26255000.0,26785000.0,25499000.0,2180.0,-1.96
2023-01-17,"26,256,000","26,375,000","26,634,000","26,023,000",0.94K,-0.44%,26256000.0,26375000.0,26634000.0,26023000.0,940.0,-0.44
2023-01-16,"26,373,000","25,871,000","26,608,000","25,645,000",1.31K,1.92%,26373000.0,25871000.0,26608000.0,25645000.0,1310.0,1.92
2023-01-15,"25,876,000","25,913,000","26,009,000","25,450,000",1.15K,-0.14%,25876000.0,25913000.0,26009000.0,25450000.0,1150.0,-0.14
2023-01-14,"25,913,000","24,831,000","26,194,000","24,795,000",0.95K,4.36%,25913000.0,24831000.0,26194000.0,24795000.0,950.0,4.36
2023-01-13,"24,830,000","23,576,000","24,891,000","23,395,000",1.73K,5.30%,24830000.0,23576000.0,24891000.0,23395000.0,1730.0,5.3
2023-01-12,"23,580,000","22,480,000","23,900,000","22,415,000",1.44K,4.92%,23580000.0,22480000.0,23900000.0,22415000.0,1440.0,4.92
2023-01-11,"22,474,000","21,927,000","22,500,000","21,849,000",1.01K,2.49%,22474000.0,21927000.0,22500000.0,21849000.0,1010.0,2.49
2023-01-10,"21,929,000","21,661,000","21,967,000","21,574,000",0.76K,1.26%,21929000.0,21661000.0,21967000.0,21574000.0,760.0,1.26
2023-01-09,"21,657,000","21,712,000","21,854,000","21,638,000",1.06K,-0.24%,21657000.0,21712000.0,21854000.0,21638000.0,1060.0,-0.24
2023-01-08,"21,710,000","21,561,000","21,720,000","21,514,000",0.81K,0.69%,21710000.0,21561000.0,21720000.0,21514000.0,810.0,0.69
2023-01-07,"21,561,000","21,505,000","21,576,000","21,485,000",0.60K,0.26%,21561000.0,21505000.0,21576000.0,21485000.0,600.0,0.26
2023-01-06,"21,505,000","21,570,000","21,599,000","21,263,000",0.82K,-0.30%,21505000.0,21570000.0,21599000.0,21263000.0,820.0,-0.3
2023-01-05,"21,570,000","21,584,000","21,631,000","21,423,000",0.64K,-0.06%,21570000.0,21584000.0,21631000.0,21423000.0,640.0,-0.06
2023-01-04,"21,583,000","21,355,000","21,727,000","21,354,000",0.84K,1.07%,21583000.0,21355000.0,21727000.0,21354000.0,840.0,1.07
2023-01-03,"21,355,000","21,195,000","21,444,000","21,175,000",0.70K,0.75%,21355000.0,21195000.0,21444000.0,21175000.0,700.0,0.75
2023-01-02,"21,195,000","21,124,000","21,381,000","21,079,000",0.66K,0.33%,21195000.0,21124000.0,21381000.0,21079000.0,660.0,0.33
2023-01-01,"21,126,000","21,075,000","21,169,000","21,022,000",0.54K,0.23%,21126000.0,21075000.0,21169000.0,21022000.0,540.0,0.23
2022-12-31,"21,078,000","21,092,000","21,213,000","20,968,000",0.58K,-0.07%,21078000.0,21092000.0,21213000.0,20968000.0,580.0,-0.07
2022-12-30,"21,092,000","21,200,000","21,207,000","20,748,000",0.66K,-0.50%,21092000.0,21200000.0,21207000.0,20748000.0,660.0,-0.5
2022-12-29,"21,198,000","21,048,000","21,289,000","20,904,000",0.70K,0.70%,21198000.0,21048000.0,21289000.0,20904000.0,700.0,0.7
2022-12-28,"21,051,000","21,325,000","21,372,000","21,000,000",0.82K,-1.29%,21051000.0,21325000.0,21372000.0,21000000.0,820.0,-1.29
2022-12-27,"21,326,000","21,683,000","21,728,000","21,243,000",0.66K,-1.64%,21326000.0,21683000.0,21728000.0,21243000.0,660.0,-1.64
2022-12-26,"21,682,000","21,824,000","21,831,000","21,571,000",0.63K,-0.66%,21682000.0,21824000.0,21831000.0,21571000.0,630.0,-0.66
2022-12-25,"21,825,000","21,945,000","21,961,000","21,760,000",0.59K,-0.53%,21825000.0,21945000.0,21961000.0,21760000.0,590.0,-0.53
2022-12-24,"21,942,000","21,851,000","21,997,000","21,849,000",0.54K,0.43%,21942000.0,21851000.0,21997000.0,21849000.0,540.0,0.43
2022-12-23,"21,849,000","21,878,000","21,999,000","21,749,000",0.60K,-0.13%,21849000.0,21878000.0,21999000.0,21749000.0,600.0,-0.13
2022-12-22,"21,878,000","21,917,000","21,969,000","21,642,000",0.93K,-0.18%,21878000.0,21917000.0,21969000.0,21642000.0,930.0,-0.18
2022-12-21,"21,917,000","22,008,000","22,057,000","21,850,000",0.71K,-0.43%,21917000.0,22008000.0,22057000.0,21850000.0,710.0,-0.43
2022-12-20,"22,012,000","21,645,000","22,200,000","21,577,000",0.75K,1.69%,22012000.0,21645000.0,22200000.0,21577000.0,750.0,1.69
2022-12-19,"21,647,000","22,220,000","22,243,000","21,526,000",1.27K,-2.63%,21647000.0,22220000.0,22243000.0,21526000.0,1270.0,-2.63
2022-12-18,"22,232,000","22,247,000","22,300,000","22,129,000",0.12K,-0.07%,22232000.0,22247000.0,22300000.0,22129000.0,120.0,-0.07
2022-12-17,"22,248,000","22,240,000","22,365,000","21,976,000",0.72K,0.06%,22248000.0,22240000.0,22365000.0,21976000.0,720.0,0.06
2022-12-16,"22,234,000","22,954,000","23,009,000","22,127,000",1.40K,-3.12%,22234000.0,22954000.0,23009000.0,22127000.0,1400.0,-3.12
2022-12-15,"22,950,000","23,262,000","23,368,000","22,865,000",0.89K,-1.32%,22950000.0,23262000.0,23368000.0,22865000.0,890.0,-1.32
2022-12-14,"23,256,000","23,167,000","23,908,000","23,152,000",1.37K,0.36%,23256000.0,23167000.0,23908000.0,23152000.0,1370.0,0.36
2022-12-13,"23,172,000","22,833,000","23,516,000","22,562,000",0.99K,1.48%,23172000.0,22833000.0,23516000.0,22562000.0,990.0,1.48
2022-12-12,"22,835,000","22,770,000","22,873,000","22,475,000",0.74K,0.28%,22835000.0,22770000.0,22873000.0,22475000.0,740.0,0.28
2022-12-11,"22,772,000","22,826,000","22,903,000","22,751,000",0.69K,-0.25%,22772000.0,22826000.0,22903000.0,22751000.0,690.0,-0.25
2022-12-10,"22,828,000","22,854,000","22,918,000","22,809,000",0.68K,-0.11%,22828000.0,22854000.0,22918000.0,22809000.0,680.0,-0.11
2022-12-09,"22,854,000","22,905,000","23,000,000","22,737,000",0.73K,-0.23%,22854000.0,22905000.0,23000000.0,22737000.0,730.0,-0.23
2022-12-08,"22,907,000","22,540,000","22,994,000","22,467,000",0.93K,1.64%,22907000.0,22540000.0,22994000.0,22467000.0,930.0,1.64
2022-12-07,"22,538,000","22,821,000","22,882,000","22,385,000",0.71K,-1.24%,22538000.0,22821000.0,22882000.0,22385000.0,710.0,-1.24
2022-12-06,"22,821,000","22,736,000","22,866,000","22,695,000",0.79K,0.35%,22821000.0,22736000.0,22866000.0,22695000.0,790.0,0.35
2022-12-05,"22,741,000","22,913,000","23,149,000","22,686,000",0.97K,-0.79%,22741000.0,22913000.0,23149000.0,22686000.0,970.0,-0.79
2022-12-04,"22,923,000","22,827,000","23,006,000","22,752,000",0.73K,0.42%,22923000.0,22827000.0,23006000.0,22752000.0,730.0,0.42
2022-12-03,"22,827,000","22,883,000","22,962,000","22,739,000",0.66K,-0.24%,22827000.0,22883000.0,22962000.0,22739000.0,660.0,-0.24
2022-12-02,"22,883,000","23,006,000","23,041,000","22,633,000",0.69K,-0.54%,22883000.0,23006000.0,23041000.0,22633000.0,690.0,-0.54
2022-12-01,"23,008,000","23,216,000","23,315,000","22,872,000",0.93K,-0.90%,23008000.0,23216000.0,23315000.0,22872000.0,930.0,-0.9
2022-11-30,"23,217,000","22,416,000","23,284,000","22,402,000",1.35K,3.59%,23217000.0,22416000.0,23284000.0,22402000.0,1350.0,3.59
2022-11-29,"22,413,000","22,319,000","22,588,000","22,150,000",0.90K,0.42%,22413000.0,22319000.0,22588000.0,22150000.0,900.0,0.42
2022-11-28,"22,319,000","22,646,000","22,682,000","22,161,000",1.23K,-1.46%,22319000.0,22646000.0,22682000.0,22161000.0,1230.0,-1.46
2022-11-27,"22,650,000","22,664,000","22,780,000","22,602,000",2.17K,-0.06%,22650000.0,22664000.0,22780000.0,22602000.0,2170.0,-0.06
2022-11-26,"22,664,000","22,673,000","22,877,000","22,600,000",1.34K,-0.04%,22664000.0,22673000.0,22877000.0,22600000.0,1340.0,-0.04
2022-11-25,"22,673,000","22,716,000","22,814,000","22,328,000",0.72K,-0.18%,22673000.0,22716000.0,22814000.0,22328000.0,720.0,-0.18
2022-11-24,"22,715,000","22,951,000","23,196,000","22,567,000",0.87K,-1.06%,22715000.0,22951000.0,23196000.0,22567000.0,870.0,-1.06
2022-11-23,"22,959,000","22,550,000","23,100,000","22,489,000",0.94K,1.81%,22959000.0,22550000.0,23100000.0,22489000.0,940.0,1.81
2022-11-22,"22,550,000","22,193,000","22,698,000","21,999,000",0.58K,1.59%,22550000.0,22193000.0,22698000.0,21999000.0,580.0,1.59
2022-11-21,"22,198,000","22,775,000","22,812,000","21,896,000",1.09K,-2.53%,22198000.0,22775000.0,22812000.0,21896000.0,1090.0,-2.53
2022-11-20,"22,775,000","23,051,000","23,088,000","22,650,000",0.53K,-1.20%,22775000.0,23051000.0,23088000.0,22650000.0,530.0,-1.2
2022-11-19,"23,051,000","22,989,000","23,157,000","22,955,000",0.26K,0.22%,23051000.0,22989000.0,23157000.0,22955000.0,260.0,0.22
2022-11-18,"23,001,000","23,085,000","23,127,000","22,869,000",0.39K,0.43%,23001000.0,23085000.0,23127000.0,22869000.0,390.0,0.43
2022-11-17,"22,903,000","22,979,000","23,019,000","22,584,000",0.48K,0.40%,22903000.0,22979000.0,23019000.0,22584000.0,480.0,0.4
2022-11-16,"22,811,000","22,990,000","23,133,000","22,535,000",0.53K,-0.78%,22811000.0,22990000.0,23133000.0,22535000.0,530.0,-0.78
2022-11-15,"22,990,000","22,680,000","23,202,000","22,528,000",0.76K,1.37%,22990000.0,22680000.0,23202000.0,22528000.0,760.0,1.37
2022-11-14,"22,679,000","22,475,000","23,427,000","21,533,000",0.99K,0.90%,22679000.0,22475000.0,23427000.0,21533000.0,990.0,0.9
2022-11-13,"22,476,000","23,355,000","23,486,000","22,458,000",1.36K,-3.76%,22476000.0,23355000.0,23486000.0,22458000.0,1360.0,-3.76
2022-11-12,"23,355,000","23,668,000","23,769,000","23,077,000",0.44K,-1.29%,23355000.0,23668000.0,23769000.0,23077000.0,440.0,-1.29
2022-11-11,"23,661,000","24,783,000","24,938,000","22,936,000",1.19K,-4.50%,23661000.0,24783000.0,24938000.0,22936000.0,1190.0,-4.5
2022-11-10,"24,776,000","22,960,000","25,137,000","22,840,000",1.98K,8.04%,24776000.0,22960000.0,25137000.0,22840000.0,1980.0,8.04
2022-11-09,"22,932,000","26,645,000","26,813,000","22,500,000",4.43K,-13.94%,22932000.0,26645000.0,26813000.0,22500000.0,4430.0,-13.94
2022-11-08,"26,645,000","28,982,000","29,024,000","26,000,000",3.92K,-8.06%,26645000.0,28982000.0,29024000.0,26000000.0,3920.0,-8.06
2022-11-07,"28,982,000","29,454,000","29,676,000","28,810,000",0.78K,-1.61%,28982000.0,29454000.0,29676000.0,28810000.0,780.0,-1.61
2022-11-06,"29,455,000","29,775,000","29,872,000","29,429,000",0.61K,-1.05%,29455000.0,29775000.0,29872000.0,29429000.0,610.0,-1.05
2022-11-05,"29,768,000","29,393,000","29,922,000","29,335,000",0.41K,1.25%,29768000.0,29393000.0,29922000.0,29335000.0,410.0,1.25
2022-11-04,"29,401,000","28,737,000","29,670,000","28,715,000",0.79K,2.31%,29401000.0,28737000.0,29670000.0,28715000.0,790.0,2.31
